"filename", "language", "C++", "GLSL", "Markdown", "comment", "blank", "total"
"/home/kyutsune/Bring-me-the-engine/README.md", "Markdown", 0, 0, 1, 0, 1, 2
"/home/kyutsune/Bring-me-the-engine/include/Globals.h", "C++", 2, 0, 0, 0, 1, 3
"/home/kyutsune/Bring-me-the-engine/include/camera/Frustum.h", "C++", 1, 0, 0, 1, 1, 3
"/home/kyutsune/Bring-me-the-engine/include/engine/Entity.h", "C++", 1, 0, 0, 0, 1, 2
"/home/kyutsune/Bring-me-the-engine/include/engine/Light.h", "C++", 4, 0, 0, 0, 0, 4
"/home/kyutsune/Bring-me-the-engine/include/engine/LightingManager.h", "C++", 2, 0, 0, 0, 0, 2
"/home/kyutsune/Bring-me-the-engine/include/engine/Mesh.h", "C++", 1, 0, 0, 0, 1, 2
"/home/kyutsune/Bring-me-the-engine/include/math/PlaneBoundingVolume.h", "C++", 14, 0, 0, 1, 3, 18
"/home/kyutsune/Bring-me-the-engine/include/math/Vec.h", "C++", 24, 0, 0, 0, 3, 27
"/home/kyutsune/Bring-me-the-engine/include/rendering/Renderer.h", "C++", 11, 0, 0, 0, 4, 15
"/home/kyutsune/Bring-me-the-engine/include/rendering/Shader.h", "C++", 1, 0, 0, 0, 1, 2
"/home/kyutsune/Bring-me-the-engine/include/ui/Sections.h", "C++", 1, 0, 0, 0, 0, 1
"/home/kyutsune/Bring-me-the-engine/shaders/debug/quad.frag", "GLSL", 0, 8, 0, 0, 1, 9
"/home/kyutsune/Bring-me-the-engine/shaders/debug/quad.vert", "GLSL", 0, 9, 0, 0, 3, 12
"/home/kyutsune/Bring-me-the-engine/shaders/shadow.frag", "GLSL", 0, 4, 0, 0, 0, 4
"/home/kyutsune/Bring-me-the-engine/shaders/shadow.vert", "GLSL", 0, 8, 0, 0, 4, 12
"/home/kyutsune/Bring-me-the-engine/shaders/vertex.frag", "GLSL", 0, 35, 0, 11, 9, 55
"/home/kyutsune/Bring-me-the-engine/shaders/vertex.vert", "GLSL", 0, 3, 0, 0, 2, 5
"/home/kyutsune/Bring-me-the-engine/src/Globals.cpp", "C++", 2, 0, 0, 0, 1, 3
"/home/kyutsune/Bring-me-the-engine/src/camera/Frustum.cpp", "C++", 24, 0, 0, 1, 7, 32
"/home/kyutsune/Bring-me-the-engine/src/engine/LightingManager.cpp", "C++", 26, 0, 0, -4, 2, 24
"/home/kyutsune/Bring-me-the-engine/src/engine/Scene.cpp", "C++", 15, 0, 0, -8, 1, 8
"/home/kyutsune/Bring-me-the-engine/src/main.cpp", "C++", 2, 0, 0, 0, -1, 1
"/home/kyutsune/Bring-me-the-engine/src/math/PlaneBoundingVolume.cpp", "C++", 11, 0, 0, 0, 2, 13
"/home/kyutsune/Bring-me-the-engine/src/math/Vec.cpp", "C++", 128, 0, 0, 1, 26, 155
"/home/kyutsune/Bring-me-the-engine/src/rendering/Renderer.cpp", "C++", 134, 0, 0, 11, 31, 176
"/home/kyutsune/Bring-me-the-engine/src/rendering/Shader.cpp", "C++", 4, 0, 0, 0, 0, 4
"/home/kyutsune/Bring-me-the-engine/src/ui/Menu.cpp", "C++", 1, 0, 0, 0, 0, 1
"/home/kyutsune/Bring-me-the-engine/src/ui/Sections.cpp", "C++", 8, 0, 0, 0, 2, 10
"Total", "-", 417, 67, 1, 14, 106, 605
