"filename", "language", "C++", "Shell Script", "GLSL", "CMake", "Markdown", "comment", "blank", "total"
"/home/kyutsune/Bring-me-the-engine/CMakeLists.txt", "CMake", 0, 0, 0, 57, 0, 0, 16, 73
"/home/kyutsune/Bring-me-the-engine/Competences_acquises/Callback.cpp", "C++", 13, 0, 0, 0, 0, 9, 7, 29
"/home/kyutsune/Bring-me-the-engine/README.md", "Markdown", 0, 0, 0, 0, 57, 0, 7, 64
"/home/kyutsune/Bring-me-the-engine/include/Globals.h", "C++", 7, 0, 0, 0, 0, 3, 3, 13
"/home/kyutsune/Bring-me-the-engine/include/camera/Camera.h", "C++", 40, 0, 0, 0, 0, 0, 8, 48
"/home/kyutsune/Bring-me-the-engine/include/camera/Frustum.h", "C++", 12, 0, 0, 0, 0, 4, 4, 20
"/home/kyutsune/Bring-me-the-engine/include/engine/Entity.h", "C++", 38, 0, 0, 0, 0, 0, 13, 51
"/home/kyutsune/Bring-me-the-engine/include/engine/Light.h", "C++", 39, 0, 0, 0, 0, 2, 5, 46
"/home/kyutsune/Bring-me-the-engine/include/engine/LightSettings.h", "C++", 17, 0, 0, 0, 0, 1, 5, 23
"/home/kyutsune/Bring-me-the-engine/include/engine/LightingManager.h", "C++", 25, 0, 0, 0, 0, 5, 8, 38
"/home/kyutsune/Bring-me-the-engine/include/engine/Material.h", "C++", 11, 0, 0, 0, 0, 3, 3, 17
"/home/kyutsune/Bring-me-the-engine/include/engine/Mesh.h", "C++", 22, 0, 0, 0, 0, 1, 9, 32
"/home/kyutsune/Bring-me-the-engine/include/engine/Scene.h", "C++", 46, 0, 0, 0, 0, 1, 14, 61
"/home/kyutsune/Bring-me-the-engine/include/geometry/Cube.h", "C++", 52, 0, 0, 0, 0, 6, 12, 70
"/home/kyutsune/Bring-me-the-engine/include/geometry/Floor.h", "C++", 29, 0, 0, 0, 0, 0, 6, 35
"/home/kyutsune/Bring-me-the-engine/include/geometry/Skybox_mesh.h", "C++", 44, 0, 0, 0, 0, 1, 9, 54
"/home/kyutsune/Bring-me-the-engine/include/geometry/Sphere.h", "C++", 58, 0, 0, 0, 0, 1, 12, 71
"/home/kyutsune/Bring-me-the-engine/include/input/ClavierSouris.h", "C++", 13, 0, 0, 0, 0, 3, 4, 20
"/home/kyutsune/Bring-me-the-engine/include/math/Color.h", "C++", 46, 0, 0, 0, 0, 0, 6, 52
"/home/kyutsune/Bring-me-the-engine/include/math/PlaneBoundingVolume.h", "C++", 50, 0, 0, 0, 0, 3, 14, 67
"/home/kyutsune/Bring-me-the-engine/include/math/Tang_Bitang.h", "C++", 47, 0, 0, 0, 0, 3, 12, 62
"/home/kyutsune/Bring-me-the-engine/include/math/Trigo.h", "C++", 5, 0, 0, 0, 0, 0, 1, 6
"/home/kyutsune/Bring-me-the-engine/include/math/Vec.h", "C++", 151, 0, 0, 0, 0, 3, 39, 193
"/home/kyutsune/Bring-me-the-engine/include/rendering/Renderer.h", "C++", 31, 0, 0, 0, 0, 0, 9, 40
"/home/kyutsune/Bring-me-the-engine/include/rendering/Shader.h", "C++", 28, 0, 0, 0, 0, 1, 10, 39
"/home/kyutsune/Bring-me-the-engine/include/rendering/Skybox.h", "C++", 16, 0, 0, 0, 0, 0, 5, 21
"/home/kyutsune/Bring-me-the-engine/include/rendering/Texture.h", "C++", 13, 0, 0, 0, 0, 0, 3, 16
"/home/kyutsune/Bring-me-the-engine/include/rendering/Vertex.h", "C++", 10, 0, 0, 0, 0, 0, 2, 12
"/home/kyutsune/Bring-me-the-engine/include/ui/Menu.h", "C++", 24, 0, 0, 0, 0, 1, 8, 33
"/home/kyutsune/Bring-me-the-engine/include/ui/Sections.h", "C++", 10, 0, 0, 0, 0, 0, 4, 14
"/home/kyutsune/Bring-me-the-engine/rebuild.sh", "Shell Script", 0, 5, 0, 0, 0, 1, 1, 7
"/home/kyutsune/Bring-me-the-engine/shaders/bounding_box.frag", "GLSL", 0, 0, 6, 0, 0, 0, 3, 9
"/home/kyutsune/Bring-me-the-engine/shaders/bounding_box.vert", "GLSL", 0, 0, 8, 0, 0, 0, 2, 10
"/home/kyutsune/Bring-me-the-engine/shaders/debug/quad.frag", "GLSL", 0, 0, 8, 0, 0, 0, 1, 9
"/home/kyutsune/Bring-me-the-engine/shaders/debug/quad.vert", "GLSL", 0, 0, 9, 0, 0, 0, 3, 12
"/home/kyutsune/Bring-me-the-engine/shaders/light_pos.frag", "GLSL", 0, 0, 6, 0, 0, 0, 0, 6
"/home/kyutsune/Bring-me-the-engine/shaders/light_pos.vert", "GLSL", 0, 0, 8, 0, 0, 0, 0, 8
"/home/kyutsune/Bring-me-the-engine/shaders/shadow.frag", "GLSL", 0, 0, 4, 0, 0, 0, 0, 4
"/home/kyutsune/Bring-me-the-engine/shaders/shadow.vert", "GLSL", 0, 0, 8, 0, 0, 0, 4, 12
"/home/kyutsune/Bring-me-the-engine/shaders/skybox.frag", "GLSL", 0, 0, 7, 0, 0, 0, 2, 9
"/home/kyutsune/Bring-me-the-engine/shaders/skybox.vert", "GLSL", 0, 0, 10, 0, 0, 0, 3, 13
"/home/kyutsune/Bring-me-the-engine/shaders/vertex.frag", "GLSL", 0, 0, 139, 0, 0, 15, 38, 192
"/home/kyutsune/Bring-me-the-engine/shaders/vertex.vert", "GLSL", 0, 0, 30, 0, 0, 0, 10, 40
"/home/kyutsune/Bring-me-the-engine/src/Globals.cpp", "C++", 6, 0, 0, 0, 0, 0, 1, 7
"/home/kyutsune/Bring-me-the-engine/src/camera/Camera.cpp", "C++", 7, 0, 0, 0, 0, 0, 2, 9
"/home/kyutsune/Bring-me-the-engine/src/camera/Frustum.cpp", "C++", 101, 0, 0, 0, 0, 13, 32, 146
"/home/kyutsune/Bring-me-the-engine/src/engine/Entity.cpp", "C++", 58, 0, 0, 0, 0, 0, 11, 69
"/home/kyutsune/Bring-me-the-engine/src/engine/LightingManager.cpp", "C++", 88, 0, 0, 0, 0, 7, 19, 114
"/home/kyutsune/Bring-me-the-engine/src/engine/Mesh.cpp", "C++", 55, 0, 0, 0, 0, 8, 20, 83
"/home/kyutsune/Bring-me-the-engine/src/engine/Scene.cpp", "C++", 89, 0, 0, 0, 0, 7, 15, 111
"/home/kyutsune/Bring-me-the-engine/src/input/ClavierSouris.cpp", "C++", 76, 0, 0, 0, 0, 5, 24, 105
"/home/kyutsune/Bring-me-the-engine/src/main.cpp", "C++", 80, 0, 0, 0, 0, 10, 23, 113
"/home/kyutsune/Bring-me-the-engine/src/math/PlaneBoundingVolume.cpp", "C++", 95, 0, 0, 0, 0, 1, 17, 113
"/home/kyutsune/Bring-me-the-engine/src/math/Vec.cpp", "C++", 270, 0, 0, 0, 0, 4, 56, 330
"/home/kyutsune/Bring-me-the-engine/src/rendering/Renderer.cpp", "C++", 169, 0, 0, 0, 0, 14, 43, 226
"/home/kyutsune/Bring-me-the-engine/src/rendering/Shader.cpp", "C++", 89, 0, 0, 0, 0, 0, 22, 111
"/home/kyutsune/Bring-me-the-engine/src/rendering/Skybox.cpp", "C++", 95, 0, 0, 0, 0, 0, 23, 118
"/home/kyutsune/Bring-me-the-engine/src/rendering/Texture.cpp", "C++", 36, 0, 0, 0, 0, 3, 10, 49
"/home/kyutsune/Bring-me-the-engine/src/ui/Menu.cpp", "C++", 54, 0, 0, 0, 0, 3, 16, 73
"/home/kyutsune/Bring-me-the-engine/src/ui/Sections.cpp", "C++", 84, 0, 0, 0, 0, 0, 15, 99
