"filename", "language", "CMake", "C++", "Markdown", "GLSL", "comment", "blank", "total"
"/home/kyutsune/Bring-me-the-engine/CMakeLists.txt", "CMake", 15, 0, 0, 0, 0, 2, 17
"/home/kyutsune/Bring-me-the-engine/README.md", "Markdown", 0, 0, 2, 0, 0, 2, 4
"/home/kyutsune/Bring-me-the-engine/include/Globals.h", "C++", 0, 3, 0, 0, 0, 1, 4
"/home/kyutsune/Bring-me-the-engine/include/camera/Camera.h", "C++", 0, -2, 0, 0, 0, 1, -1
"/home/kyutsune/Bring-me-the-engine/include/engine/Light.h", "C++", 0, 29, 0, 0, 1, 6, 36
"/home/kyutsune/Bring-me-the-engine/include/engine/LightingManager.h", "C++", 0, 1, 0, 0, 0, 2, 3
"/home/kyutsune/Bring-me-the-engine/include/engine/Scene.h", "C++", 0, 0, 0, 0, -1, -3, -4
"/home/kyutsune/Bring-me-the-engine/include/math/Color.h", "C++", 0, 1, 0, 0, 0, 1, 2
"/home/kyutsune/Bring-me-the-engine/include/math/Vec.h", "C++", 0, 0, 0, 0, 2, 0, 2
"/home/kyutsune/Bring-me-the-engine/include/rendering/Renderer.h", "C++", 0, -2, 0, 0, 0, -2, -4
"/home/kyutsune/Bring-me-the-engine/include/rendering/Shader.h", "C++", 0, 3, 0, 0, 0, 2, 5
"/home/kyutsune/Bring-me-the-engine/include/rendering/ShadowManager.h", "C++", 0, 20, 0, 0, 0, 8, 28
"/home/kyutsune/Bring-me-the-engine/include/shadows/DirectionalShadowMap.h", "C++", 0, 18, 0, 0, 0, 6, 24
"/home/kyutsune/Bring-me-the-engine/include/shadows/PonctualShadowMap.h", "C++", 0, 25, 0, 0, 4, 7, 36
"/home/kyutsune/Bring-me-the-engine/include/ui/Sections.h", "C++", 0, 0, 0, 0, 0, -2, -2
"/home/kyutsune/Bring-me-the-engine/shaders/bounding_box.frag", "GLSL", 0, 0, 0, -6, 0, -3, -9
"/home/kyutsune/Bring-me-the-engine/shaders/bounding_box.vert", "GLSL", 0, 0, 0, -8, 0, -2, -10
"/home/kyutsune/Bring-me-the-engine/shaders/debug/bounding_box.frag", "GLSL", 0, 0, 0, 6, 0, 3, 9
"/home/kyutsune/Bring-me-the-engine/shaders/debug/bounding_box.vert", "GLSL", 0, 0, 0, 8, 0, 2, 10
"/home/kyutsune/Bring-me-the-engine/shaders/debug/debug_cubemap_shadow.frag", "GLSL", 0, 0, 0, 18, 0, 6, 24
"/home/kyutsune/Bring-me-the-engine/shaders/debug/debug_cubemap_shadow.vert", "GLSL", 0, 0, 0, 8, 0, 2, 10
"/home/kyutsune/Bring-me-the-engine/shaders/light_pos.frag", "GLSL", 0, 0, 0, -6, 0, 0, -6
"/home/kyutsune/Bring-me-the-engine/shaders/light_pos.vert", "GLSL", 0, 0, 0, -8, 0, 0, -8
"/home/kyutsune/Bring-me-the-engine/shaders/main_shaders/light_pos.frag", "GLSL", 0, 0, 0, 6, 0, 0, 6
"/home/kyutsune/Bring-me-the-engine/shaders/main_shaders/light_pos.vert", "GLSL", 0, 0, 0, 8, 0, 0, 8
"/home/kyutsune/Bring-me-the-engine/shaders/main_shaders/skybox.frag", "GLSL", 0, 0, 0, 7, 0, 2, 9
"/home/kyutsune/Bring-me-the-engine/shaders/main_shaders/skybox.vert", "GLSL", 0, 0, 0, 10, 0, 3, 13
"/home/kyutsune/Bring-me-the-engine/shaders/main_shaders/vertex.frag", "GLSL", 0, 0, 0, 188, 18, 60, 266
"/home/kyutsune/Bring-me-the-engine/shaders/main_shaders/vertex.vert", "GLSL", 0, 0, 0, 30, 0, 10, 40
"/home/kyutsune/Bring-me-the-engine/shaders/shadow.frag", "GLSL", 0, 0, 0, -4, 0, 0, -4
"/home/kyutsune/Bring-me-the-engine/shaders/shadow.vert", "GLSL", 0, 0, 0, -8, 0, -4, -12
"/home/kyutsune/Bring-me-the-engine/shaders/shadows/dir_shadow.frag", "GLSL", 0, 0, 0, 4, 0, 0, 4
"/home/kyutsune/Bring-me-the-engine/shaders/shadows/dir_shadow.vert", "GLSL", 0, 0, 0, 8, 0, 4, 12
"/home/kyutsune/Bring-me-the-engine/shaders/shadows/ponc_shadow.frag", "GLSL", 0, 0, 0, 10, 0, 3, 13
"/home/kyutsune/Bring-me-the-engine/shaders/shadows/ponc_shadow.geom", "GLSL", 0, 0, 0, 17, 0, 3, 20
"/home/kyutsune/Bring-me-the-engine/shaders/shadows/ponc_shadow.vert", "GLSL", 0, 0, 0, 9, 0, 3, 12
"/home/kyutsune/Bring-me-the-engine/shaders/skybox.frag", "GLSL", 0, 0, 0, -7, 0, -2, -9
"/home/kyutsune/Bring-me-the-engine/shaders/skybox.vert", "GLSL", 0, 0, 0, -10, 0, -3, -13
"/home/kyutsune/Bring-me-the-engine/shaders/vertex.frag", "GLSL", 0, 0, 0, -139, -15, -38, -192
"/home/kyutsune/Bring-me-the-engine/shaders/vertex.vert", "GLSL", 0, 0, 0, -30, 0, -10, -40
"/home/kyutsune/Bring-me-the-engine/src/Globals.cpp", "C++", 0, 0, 0, 0, 0, 3, 3
"/home/kyutsune/Bring-me-the-engine/src/engine/LightingManager.cpp", "C++", 0, 21, 0, 0, 0, 3, 24
"/home/kyutsune/Bring-me-the-engine/src/engine/Scene.cpp", "C++", 0, 21, 0, 0, 0, 2, 23
"/home/kyutsune/Bring-me-the-engine/src/main.cpp", "C++", 0, 13, 0, 0, 0, 0, 13
"/home/kyutsune/Bring-me-the-engine/src/math/Vec.cpp", "C++", 0, 2, 0, 0, 0, 1, 3
"/home/kyutsune/Bring-me-the-engine/src/rendering/Renderer.cpp", "C++", 0, -115, 0, 0, -5, -27, -147
"/home/kyutsune/Bring-me-the-engine/src/rendering/Shader.cpp", "C++", 0, 37, 0, 0, 0, 7, 44
"/home/kyutsune/Bring-me-the-engine/src/rendering/ShadowManager.cpp", "C++", 0, 62, 0, 0, 10, 16, 88
"/home/kyutsune/Bring-me-the-engine/src/rendering/Texture.cpp", "C++", 0, 4, 0, 0, 0, -1, 3
"/home/kyutsune/Bring-me-the-engine/src/shadows/DirectionalShadowMap.cpp", "C++", 0, 64, 0, 0, 0, 20, 84
"/home/kyutsune/Bring-me-the-engine/src/shadows/PonctualShadowMap.cpp", "C++", 0, 72, 0, 0, 1, 24, 97
"/home/kyutsune/Bring-me-the-engine/src/ui/Sections.cpp", "C++", 0, 5, 0, 0, 0, 0, 5
"Total", "-", 15, 282, 2, 111, 15, 118, 543
