"filename", "language", "CMake", "C++", "Markdown", "GLSL", "Shell Script", "comment", "blank", "total"
"/home/kyutsune/Bring-me-the-engine/CMakeLists.txt", "CMake", 72, 0, 0, 0, 0, 0, 18, 90
"/home/kyutsune/Bring-me-the-engine/Competences_acquises/Callback.cpp", "C++", 0, 13, 0, 0, 0, 9, 7, 29
"/home/kyutsune/Bring-me-the-engine/README.md", "Markdown", 0, 0, 59, 0, 0, 0, 9, 68
"/home/kyutsune/Bring-me-the-engine/include/Globals.h", "C++", 0, 10, 0, 0, 0, 3, 4, 17
"/home/kyutsune/Bring-me-the-engine/include/camera/Camera.h", "C++", 0, 38, 0, 0, 0, 0, 9, 47
"/home/kyutsune/Bring-me-the-engine/include/camera/Frustum.h", "C++", 0, 12, 0, 0, 0, 4, 4, 20
"/home/kyutsune/Bring-me-the-engine/include/engine/Entity.h", "C++", 0, 38, 0, 0, 0, 0, 13, 51
"/home/kyutsune/Bring-me-the-engine/include/engine/Light.h", "C++", 0, 68, 0, 0, 0, 3, 11, 82
"/home/kyutsune/Bring-me-the-engine/include/engine/LightSettings.h", "C++", 0, 17, 0, 0, 0, 1, 5, 23
"/home/kyutsune/Bring-me-the-engine/include/engine/LightingManager.h", "C++", 0, 26, 0, 0, 0, 5, 10, 41
"/home/kyutsune/Bring-me-the-engine/include/engine/Material.h", "C++", 0, 11, 0, 0, 0, 3, 3, 17
"/home/kyutsune/Bring-me-the-engine/include/engine/Mesh.h", "C++", 0, 22, 0, 0, 0, 1, 9, 32
"/home/kyutsune/Bring-me-the-engine/include/engine/Scene.h", "C++", 0, 46, 0, 0, 0, 0, 11, 57
"/home/kyutsune/Bring-me-the-engine/include/geometry/Cube.h", "C++", 0, 52, 0, 0, 0, 6, 12, 70
"/home/kyutsune/Bring-me-the-engine/include/geometry/Floor.h", "C++", 0, 29, 0, 0, 0, 0, 6, 35
"/home/kyutsune/Bring-me-the-engine/include/geometry/Skybox_mesh.h", "C++", 0, 44, 0, 0, 0, 1, 9, 54
"/home/kyutsune/Bring-me-the-engine/include/geometry/Sphere.h", "C++", 0, 58, 0, 0, 0, 1, 12, 71
"/home/kyutsune/Bring-me-the-engine/include/input/ClavierSouris.h", "C++", 0, 13, 0, 0, 0, 3, 4, 20
"/home/kyutsune/Bring-me-the-engine/include/math/Color.h", "C++", 0, 47, 0, 0, 0, 0, 7, 54
"/home/kyutsune/Bring-me-the-engine/include/math/PlaneBoundingVolume.h", "C++", 0, 50, 0, 0, 0, 3, 14, 67
"/home/kyutsune/Bring-me-the-engine/include/math/Tang_Bitang.h", "C++", 0, 47, 0, 0, 0, 3, 12, 62
"/home/kyutsune/Bring-me-the-engine/include/math/Trigo.h", "C++", 0, 5, 0, 0, 0, 0, 1, 6
"/home/kyutsune/Bring-me-the-engine/include/math/Vec.h", "C++", 0, 151, 0, 0, 0, 5, 39, 195
"/home/kyutsune/Bring-me-the-engine/include/rendering/Renderer.h", "C++", 0, 29, 0, 0, 0, 0, 7, 36
"/home/kyutsune/Bring-me-the-engine/include/rendering/Shader.h", "C++", 0, 31, 0, 0, 0, 1, 12, 44
"/home/kyutsune/Bring-me-the-engine/include/rendering/ShadowManager.h", "C++", 0, 20, 0, 0, 0, 0, 8, 28
"/home/kyutsune/Bring-me-the-engine/include/rendering/Skybox.h", "C++", 0, 16, 0, 0, 0, 0, 5, 21
"/home/kyutsune/Bring-me-the-engine/include/rendering/Texture.h", "C++", 0, 13, 0, 0, 0, 0, 3, 16
"/home/kyutsune/Bring-me-the-engine/include/rendering/Vertex.h", "C++", 0, 10, 0, 0, 0, 0, 2, 12
"/home/kyutsune/Bring-me-the-engine/include/shadows/DirectionalShadowMap.h", "C++", 0, 18, 0, 0, 0, 0, 6, 24
"/home/kyutsune/Bring-me-the-engine/include/shadows/PonctualShadowMap.h", "C++", 0, 25, 0, 0, 0, 4, 7, 36
"/home/kyutsune/Bring-me-the-engine/include/ui/Menu.h", "C++", 0, 24, 0, 0, 0, 1, 8, 33
"/home/kyutsune/Bring-me-the-engine/include/ui/Sections.h", "C++", 0, 10, 0, 0, 0, 0, 2, 12
"/home/kyutsune/Bring-me-the-engine/rebuild.sh", "Shell Script", 0, 0, 0, 0, 5, 1, 1, 7
"/home/kyutsune/Bring-me-the-engine/shaders/debug/bounding_box.frag", "GLSL", 0, 0, 0, 6, 0, 0, 3, 9
"/home/kyutsune/Bring-me-the-engine/shaders/debug/bounding_box.vert", "GLSL", 0, 0, 0, 8, 0, 0, 2, 10
"/home/kyutsune/Bring-me-the-engine/shaders/debug/debug_cubemap_shadow.frag", "GLSL", 0, 0, 0, 18, 0, 0, 6, 24
"/home/kyutsune/Bring-me-the-engine/shaders/debug/debug_cubemap_shadow.vert", "GLSL", 0, 0, 0, 8, 0, 0, 2, 10
"/home/kyutsune/Bring-me-the-engine/shaders/debug/quad.frag", "GLSL", 0, 0, 0, 8, 0, 0, 1, 9
"/home/kyutsune/Bring-me-the-engine/shaders/debug/quad.vert", "GLSL", 0, 0, 0, 9, 0, 0, 3, 12
"/home/kyutsune/Bring-me-the-engine/shaders/main_shaders/light_pos.frag", "GLSL", 0, 0, 0, 6, 0, 0, 0, 6
"/home/kyutsune/Bring-me-the-engine/shaders/main_shaders/light_pos.vert", "GLSL", 0, 0, 0, 8, 0, 0, 0, 8
"/home/kyutsune/Bring-me-the-engine/shaders/main_shaders/skybox.frag", "GLSL", 0, 0, 0, 7, 0, 0, 2, 9
"/home/kyutsune/Bring-me-the-engine/shaders/main_shaders/skybox.vert", "GLSL", 0, 0, 0, 10, 0, 0, 3, 13
"/home/kyutsune/Bring-me-the-engine/shaders/main_shaders/vertex.frag", "GLSL", 0, 0, 0, 188, 0, 18, 60, 266
"/home/kyutsune/Bring-me-the-engine/shaders/main_shaders/vertex.vert", "GLSL", 0, 0, 0, 30, 0, 0, 10, 40
"/home/kyutsune/Bring-me-the-engine/shaders/shadows/dir_shadow.frag", "GLSL", 0, 0, 0, 4, 0, 0, 0, 4
"/home/kyutsune/Bring-me-the-engine/shaders/shadows/dir_shadow.vert", "GLSL", 0, 0, 0, 8, 0, 0, 4, 12
"/home/kyutsune/Bring-me-the-engine/shaders/shadows/ponc_shadow.frag", "GLSL", 0, 0, 0, 10, 0, 0, 3, 13
"/home/kyutsune/Bring-me-the-engine/shaders/shadows/ponc_shadow.geom", "GLSL", 0, 0, 0, 17, 0, 0, 3, 20
